"ID";"Name";"Gender";"PhoneNumber";"Address";"Department";"Salary";"BasicPay";"Deductions";"TaxablePay";"IncomeTax";"NetPay";"Start_Date"
1;"Carol Tyler";"F";"Null";"Default";"Finance";75000.0;0.0;0.0;0.0;0.0;0.0;"2020-04-05"
2;"Jack Parker";"M";"Null";"Default";"HR";45000.0;0.0;0.0;0.0;0.0;0.0;"2020-01-15"
3;"Nick Jonas";"M";"Null";"Default";"HR";49000.0;0.0;0.0;0.0;0.0;0.0;"2020-03-10"
4;"Riyan Smith";"M";"Null";"Default";"IT";50000.0;0.0;0.0;0.0;0.0;0.0;"2020-02-01"
5;"Nia Patrik";"F";"Null";"Default";"IT";57000.0;0.0;0.0;0.0;0.0;0.0;"2020-03-20"
6;"Alex paul";"M";"Null";"Default";"Marketing";38000.0;0.0;0.0;0.0;0.0;0.0;"2020-03-15"
7;"Terrisa";"F";"Null";"Default";"Marketing";40000.0;25000.0;5000.0;2500.0;3000.0;29500.0;"2020-10-22"
8;"Rachel Brown";"F";"Null";"Default";"Sales";65000.0;0.0;0.0;0.0;0.0;0.0;"2020-01-15"
9;"Terrisa";"F";"Null";"Default";"Sales";30000.0;0.0;0.0;0.0;0.0;0.0;"2020-05-12"
10;"Rachel Brown";"F";"Null";"Default";"Marketing";65000.0;30000.0;5000.0;5000.0;10000.0;45000.0;"2020-01-15"
